code,description_en,description_uk,parent_code
4Z-DE-FBP,For German commercial college,For German commercial college,4Z-DE-FB
4Z-DE-FBR,For German technical college,For German technical college,4Z-DE-FB
4Z-DE-FC,For German vocational academy,For German vocational academy,4Z-DE-F
4Z-DE-FCB,For German integrated vocational training preparation,For German integrated vocational training preparation,4Z-DE-FC
4Z-DE-FCD,For German independent vocational schools,For German independent vocational schools,4Z-DE-FC
4Z-DE-FCF,For German occupational training one year prep classes,For German occupational training one year prep classes,4Z-DE-FC
4Z-DE-FCH,For German independent vocational schools with focus on crafts,For German independent vocational schools with focus on crafts,4Z-DE-FC
4Z-DE-FCJ,For German commercial school,For German commercial school,4Z-DE-FC
4Z-DE-FD,For German vocational build-up school,For German vocational build-up school,4Z-DE-F
4Z-DE-FF,For preparation of entry into professional life – one year school (Germany),For preparation of entry into professional life – one year school (Germany),4Z-DE-F
4Z-DE-FH,For preparation of entry into professional life – class (Germany),For preparation of entry into professional life – class (Germany),4Z-DE-F
4Z-DE-FJ,For preparation of entry into professional life – school (Germany),For preparation of entry into professional life – school (Germany),4Z-DE-F
4Z-DE-FL,For German vocational professional school,For German vocational professional school,4Z-DE-F
4Z-DE-FN,"For German vocational professional school, one year course","For German vocational professional school, one year course",4Z-DE-F
4Z-DE-G,For special needs schools (Germany),For special needs schools (Germany),4Z-DE-
4Z-DE-GA,For German special-needs school (with focus on assistance with learning disabilities),For German special-needs school (with focus on assistance with learning disabilities),4Z-DE-G
4Z-DE-GC,For German special-needs school (with focus on assistance with mental development),For German special-needs school (with focus on assistance with mental development),4Z-DE-G
4Z-DE-GE,For German special-needs school (with focus on assistance with emotional and social development),For German special-needs school (with focus on assistance with emotional and social development),4Z-DE-G
4Z-DE-GH,For German special-needs school (with focus on assistance with language learning),For German special-needs school (with focus on assistance with language learning),4Z-DE-G
4Z-DE-GJ,For German special-needs school (with focus on assistance with physical and motor development),For German special-needs school (with focus on assistance with physical and motor development),4Z-DE-G
4Z-DE-GL,For German special-needs school (with focus on assistance with hearing),For German special-needs school (with focus on assistance with hearing),4Z-DE-G
4Z-DE-GN,For German special-needs school (with focus on assistance with vision),For German special-needs school (with focus on assistance with vision),4Z-DE-G
4Z-DE-H,For German College or University Education,For German College or University Education,4Z-DE-
4Z-DE-J,For adult education (Germany),For adult education (Germany),4Z-DE-
4Z-DE-JB,For German three-year school of adult education,For German three-year school of adult education,4Z-DE-J
4Z-DE-L,For learning years (Germany),For learning years (Germany),4Z-DE-
4Z-DE-LA,For learning year 1 (Germany),For learning year 1 (Germany),4Z-DE-L
4Z-DE-LB,For learning year 2 (Germany),For learning year 2 (Germany),4Z-DE-L
4Z-DE-LC,For learning year 3 (Germany),For learning year 3 (Germany),4Z-DE-L
4Z-DE-LD,For learning year 4 (Germany),For learning year 4 (Germany),4Z-DE-L
4Z-DE-LE,For learning year 5 (Germany),For learning year 5 (Germany),4Z-DE-L
4Z-DE-LF,For learning year 6 (Germany),For learning year 6 (Germany),4Z-DE-L
4Z-DE-LG,For learning year 7 (Germany),For learning year 7 (Germany),4Z-DE-L
4Z-DE-LH,For learning year 8 (Germany),For learning year 8 (Germany),4Z-DE-L
4Z-DE-LJ,For learning year 9 (Germany),For learning year 9 (Germany),4Z-DE-L
4Z-DE-LK,For learning year 10 (Germany),For learning year 10 (Germany),4Z-DE-L
4Z-DE-LL,For learning year 11 (Germany),For learning year 11 (Germany),4Z-DE-L
4Z-DE-LM,For learning year 12 (Germany),For learning year 12 (Germany),4Z-DE-L
4Z-DE-LN,For learning year 13 (Germany),For learning year 13 (Germany),4Z-DE-L
4Z-DE-U,"For specific German vocational, professional or university qualifications","For specific German vocational, professional or university qualifications",4Z-DE-
4Z-DE-UD,For specific German professional qualifications and degrees,For specific German professional qualifications and degrees,4Z-DE-U
4Z-DE-UDA,For German law qualifications (bachelors and other undergraduate),For German law qualifications (bachelors and other undergraduate),4Z-DE-UD
4Z-DE-UDB,"For German law qualifications (masters, postgraduate and doctoral)","For German law qualifications (masters, postgraduate and doctoral)",4Z-DE-UD
4Z-DE-UDC,For German first state exam in licensed professions (Erste Staatsexamen),For German first state exam in licensed professions (Erste Staatsexamen),4Z-DE-UD
4Z-DE-UDD,For German training placements in state-licensed professions (Referendariat / Stationen),For German training placements in state-licensed professions (Referendariat / Stationen),4Z-DE-UD
4Z-DE-UDE,For German second state exam for licensed professions (Zweite Staatsexamen),For German second state exam for licensed professions (Zweite Staatsexamen),4Z-DE-UD
4Z-DE-UDF,"For German lawyers, paralegals and legal secretaries (professional development and reference)","For German lawyers, paralegals and legal secretaries (professional development and reference)",4Z-DE-UD
4Z-DE-UDG,For German tax consulting (professional development and reference),For German tax consulting (professional development and reference),4Z-DE-UD
4Z-DE-UDH,For German curricula leading to certificated legal specialisms,For German curricula leading to certificated legal specialisms,4Z-DE-UD
4Z-DE-UDI,For German tax advisors’ exams,For German tax advisors’ exams,4Z-DE-UD
4Z-DE-UDJ,For German civil law notaries’ exams,For German civil law notaries’ exams,4Z-DE-UD
4Z-DE-UDK,For German auditors’ exams,For German auditors’ exams,4Z-DE-UD
4Z-DE-UH,For specific German professional/vocational qualifications and degrees (dual education system),For specific German professional/vocational qualifications and degrees (dual education system),4Z-DE-U
4Z-DE-UHA,For German vocational qualifications working in the land sector,For German vocational qualifications working in the land sector,4Z-DE-UH
4Z-DE-UHAA,"For German vocational qualifications in agriculture, husbandry, forestry, landscaping and horticulture","For German vocational qualifications in agriculture, husbandry, forestry, landscaping and horticulture",4Z-DE-UHA
4Z-DE-UHAB,For German vocational qualifications in land surveying,For German vocational qualifications in land surveying,4Z-DE-UHA
4Z-DE-UHB,For German vocational qualifications in the food industries,For German vocational qualifications in the food industries,4Z-DE-UH
4Z-DE-UHBA,"For German vocational qualifications in baking, pastry making and confectionery","For German vocational qualifications in baking, pastry making and confectionery",4Z-DE-UHB
4Z-DE-UHBB,For German vocational qualifications as a butcher,For German vocational qualifications as a butcher,4Z-DE-UHB
4Z-DE-UHBC,For German vocational qualifications as a chef,For German vocational qualifications as a chef,4Z-DE-UHB
4Z-DE-UHBD,For German vocational qualifications as a food and beverage specialist,For German vocational qualifications as a food and beverage specialist,4Z-DE-UHB
4Z-DE-UHD,For German vocational qualifications in metal production and metal working industries,For German vocational qualifications in metal production and metal working industries,4Z-DE-UH
4Z-DE-UHDA,For German vocational qualifications in precision engineering and related professions,For German vocational qualifications in precision engineering and related professions,4Z-DE-UHD
4Z-DE-UHDB,For German vocational qualifications in metal production and processing,For German vocational qualifications in metal production and processing,4Z-DE-UHD
4Z-DE-UHDC,"For German vocational qualifications in metalworking, plant construction, sheet metalwork, casting, and fitting","For German vocational qualifications in metalworking, plant construction, sheet metalwork, casting, and fitting",4Z-DE-UHD
4Z-DE-UHDD,For German vocational qualifications as an industrial mechanic or toolmaker,For German vocational qualifications as an industrial mechanic or toolmaker,4Z-DE-UHD
4Z-DE-UHE,"For German vocational qualifications in stone, glass and ceramic production and related industries","For German vocational qualifications in stone, glass and ceramic production and related industries",4Z-DE-UH
4Z-DE-UHEA,"For German vocational qualifications in stone, glass or ceramics processing and building materials","For German vocational qualifications in stone, glass or ceramics processing and building materials",4Z-DE-UHE
4Z-DE-UHEB,For German vocational qualifications in mining and quarrying,For German vocational qualifications in mining and quarrying,4Z-DE-UHE
4Z-DE-UHF,For German vocational qualifications in the cloth and leather industries,For German vocational qualifications in the cloth and leather industries,4Z-DE-UH
4Z-DE-UHFA,"For German vocational qualifications in spinning, weaving, textile finishing","For German vocational qualifications in spinning, weaving, textile finishing",4Z-DE-UHF
4Z-DE-UHFB,For German vocational qualifications in textile processing and leatherworking,For German vocational qualifications in textile processing and leatherworking,4Z-DE-UHF
4Z-DE-UHH,"For German vocational qualifications in engineering, manufacturing and construction","For German vocational qualifications in engineering, manufacturing and construction",4Z-DE-UH
4Z-DE-UHHA,For German vocational qualifications in electrical trades,For German vocational qualifications in electrical trades,4Z-DE-UHH
4Z-DE-UHHB,For German vocational qualifications as technicians or mechanical engineer,For German vocational qualifications as technicians or mechanical engineer,4Z-DE-UHH
4Z-DE-UHHC,For German vocational qualifications as a drafter or drafting technician,For German vocational qualifications as a drafter or drafting technician,4Z-DE-UHH
4Z-DE-UHHD,For German vocational qualifications in vehicle or aircraft manufacture and maintenance,For German vocational qualifications in vehicle or aircraft manufacture and maintenance,4Z-DE-UHH
4Z-DE-UHHE,"For German vocational qualifications in construction, wood and plastic processing","For German vocational qualifications in construction, wood and plastic processing",4Z-DE-UHH
4Z-DE-UHHF,For German vocational qualifications in the chemical and plastics industries,For German vocational qualifications in the chemical and plastics industries,4Z-DE-UHH
4Z-DE-UHHG,"For German vocational qualifications in paper manufacture, processing and printing","For German vocational qualifications in paper manufacture, processing and printing",4Z-DE-UHH
4Z-DE-UHJ,"For German vocational qualifications in scientific, geographical and IT related professions","For German vocational qualifications in scientific, geographical and IT related professions",4Z-DE-UH
4Z-DE-UHJA,"For German vocational qualifications in chemistry, physics or natural sciences","For German vocational qualifications in chemistry, physics or natural sciences",4Z-DE-UHJ
4Z-DE-UHJB,For German vocational qualifications in IT,For German vocational qualifications in IT,4Z-DE-UHJ
4Z-DE-UHL,"For German vocational qualifications in transport, logistics, security and safety","For German vocational qualifications in transport, logistics, security and safety",4Z-DE-UH
